Corrigin_Eucalyptus_capillosa,ManyPeaksRange_Alphitonia_excelsa,ManyPeaksRange_Austromyrtus_bidwillii,ManyPeaksRange_Brachychiton_australis,ManyPeaksRange_Cochlospermum_gillivraei,Parque_Natural_Metropolitano_Calycophyllum_candidissimum,Puechabon_Quercus_ilex,Richmond_Eucalyptus_cladocalyx,Richmond_Eucalyptus_dunnii,Richmond_Eucalyptus_saligna,San_Lorenzo_Carapa_guianensis,San_Lorenzo_Tachigali_versicolor,San_Lorenzo_Tocoyena_pittieri,Sevilleta_Juniperus_monosperma,Sevilleta_Pinus_edulis,Vic_la_Gardiole_Quercus_ilex,mean,mean_se,model,variable,overall
0.10606060606060606,0.0,0.01818181818181818,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050359712230215826,0.0,,,std,A,0.01733232856066315
0.44696969696969696,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15508021390374332,0.04316546762589928,0.06666666666666667,,,tuz,A,0.07385079125847777
0.015151515151515152,0.0,0.01818181818181818,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0053475935828877,0.050359712230215826,0.0,,,sox1,A,0.00904295403165034
0.015151515151515152,0.0,0.01818181818181818,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0053475935828877,0.050359712230215826,0.0,,,sox2,A,0.00904295403165034
0.015151515151515152,0.0,0.01818181818181818,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0053475935828877,0.050359712230215826,0.0,,,wue,A,0.00904295403165034
0.015151515151515152,0.0,0.01818181818181818,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0053475935828877,0.050359712230215826,0.0,,,cmax,A,0.00904295403165034
0.015151515151515152,0.0,0.01818181818181818,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0053475935828877,0.050359712230215826,0.0,,,pmax,A,0.00904295403165034
0.015151515151515152,0.0,0.01818181818181818,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0053475935828877,0.050359712230215826,0.0,,,cgn,A,0.00904295403165034
0.015151515151515152,0.0,0.01818181818181818,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0053475935828877,0.050359712230215826,0.0,,,pmax2,A,0.00904295403165034
0.015151515151515152,0.0,0.01818181818181818,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0053475935828877,0.050359712230215826,0.0,,,lcst,A,0.00904295403165034
0.015151515151515152,0.0,0.01818181818181818,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0053475935828877,0.050359712230215826,0.0,,,cap,A,0.00904295403165034
0.015151515151515152,0.0,0.01818181818181818,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0053475935828877,0.050359712230215826,0.0,,,mes,A,0.00904295403165034
